,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Battery Life (Days),Discount Price,Brand_apple,Brand_boat,Brand_dizo,Brand_fire-boltt,Brand_garmin,Brand_noise,Brand_pebble,Brand_samsung,Brand_zebronics,Dial Shape_Contemporary,Dial Shape_Curved,Dial Shape_Oval,Dial Shape_Rectangle,Dial Shape_Square,Strap Color_Blue,Strap Color_Green,Strap Color_Grey,Strap Color_Others,Strap Color_Pink,Strap Color_Red,Strap Color_Silver,Strap Material_Fluoroelastomer,Strap Material_Leather,Strap Material_Other,Strap Material_Others,Strap Material_Rubber,Strap Material_Silicon,Strap Material_Stainless Steel
26,1799.0,6990.0,74.26323319,3.9,2931.0,8.0,5191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,1999.0,7990.0,74.98122653,3.8,21724.0,8.0,5991.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,2599.0,7990.0,67.4718398,4.2,71481.0,8.0,5391.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,1999.0,7990.0,74.98122653,3.6,827.0,8.0,5991.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1999.0,7990.0,74.98122653,3.6,827.0,8.0,5991.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1199.0,6990.0,82.84692418,4.0,27771.0,8.0,5791.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,1799.0,4999.0,64.01280256,4.0,69803.0,17.5,3200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,1699.0,6990.0,75.69384835,3.9,23498.0,8.0,5291.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,1799.0,4999.0,64.01280256,4.1,13901.0,8.0,3200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35,1199.0,6990.0,82.84692418,4.0,27771.0,8.0,5791.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,1449.0,5990.0,75.8096828,3.9,3944.0,17.5,4541.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1899.0,6499.0,70.78012002,3.7,328.0,8.0,4600.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,11499.0,18999.0,39.47576188,3.9,406.0,12.5,7500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2199.0,1868.0,17.71948608,4.1,181.0,3.5,-331.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,11499.0,9773.0,17.66090249,4.2,20.0,12.5,-1726.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,14999.0,12499.0,20.00160013,3.9,100.0,0.75,-2500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,2999.0,9999.0,70.0070007,4.3,674.0,12.5,7000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8999.0,14999.0,40.00266684,4.4,7792.0,17.5,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,5999.0,14999.0,60.00400027,4.3,996.0,8.0,9000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,8999.0,7473.0,20.42017931,4.1,323.0,0.75,-1526.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,11999.0,30990.0,61.28105841,4.1,72.0,17.5,18991.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,18410.0,37999.0,51.55135661,4.3,5228.0,3.6,19589.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,3999.0,7994.5,54.200724635,4.3,5228.0,3.6,4100.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,17999.0,19990.0,9.95997999,4.3,5228.0,3.6,1991.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,18000.0,34999.0,48.56995914,4.3,5228.0,17.5,16999.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,16990.0,22490.0,24.45531347,4.3,312.0,22.0,5500.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,27990.0,36490.0,23.29405317,4.5,4339.0,17.5,8500.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
